Standort
Praktikum - Systementwicklung Leistungselektronik für E-Fahrzeuge
Praktikum - Vorentwicklung Thermomanagement für Elektrofahrzeuge
Praktikum - Hardware-Entwicklung für Kleinserien und Sportwagen
Werkstudent - Requirements Engineer/Data Analyst (m/w/divers)
Praktikum - Supplier Quality Management / Cluster Electronics
Praktikum - Entwicklung Hybrid-Fahrzeug Konzepte
Abschlussarbeit - Ethernet
Praktikum - Technologie- und Materialentwicklung
Praktikum - Optimierung einer Betriebsstrategie für Hybridfahrzeuge
Praktikum - Supplier Quality Management / Cluster Mechanics
