Leiter CAM-Programmierung & Fertigungstechnologie (m/w/d)
Training Qualification & Support Engineer (m/w/d)
Project Manager (m/w/d) Industries
Praktikant (m/w/d) in der Logistikplanung (Ersatzteillogistik)
Sales Engineer
FH Pflichtpraktikant (m/w/d) im Bereich Employer Branding
FH Pflichtpraktikant (m/w/d) für den Bereich Sales Management Van & Produktmarketing
FH Pflichtpraktikant (m/w/i) Bereich Projektmanagement - Network Development
FH Pflichtpraktikant (m/w/d) für den Bereich Sales Management TopUsed
FH Pflichtpraktikant (m/w/d) für den Bereich Personalentwicklung
FH Pflichtpraktikant (m/w/d) für den Bereich Sales Management Truck
Werkstudent im Bereich Werkzeugtechnologie (m/w/d)
Turbocharger Sales Manager
Head of Supply Chain Zurich (m/w/d)
Abschlussarbeit Optimierung des Axialschubes von Expandern
Abschlussarbeit: Neuronale Netze zur Auslegung von Kompressoren
Werkstudent/in (m/w/d) internationaler Vertrieb
Werkstudent im Bereich Werkzeugtechnologie (m/w/d)
Technical Bid Support Instrumentation&Controls (m/w/d)
Werkstudent Praktikant im Bereich Datenschutz
