Thesis Offroad Vehicle Control Unit with the Robot Operating System
Praktikant*in im Bereich Softwareentwicklung für Radio-Frequency Identification
Praktikant*in im Bereich Motorsteuerung (Verbrennungsmotor & Hybridsysteme)
Praktikant*in im Bereich Applikation radarbasierter Fahrerassistenzsysteme
Masterarbeit im Bereich Industrie4.0/Digitalisierung
Abschlussarbeit in der Entwicklung
Praktikum - Internet of Things - Digital Business
Internship App development for a new Smart Home device
Werkstudent*in Testautomatisierung
